word,times_added,times_removed,net_change,absolute_change
art,15,17,-2,32
caracas,15,15,0,30
virginia,15,16,-1,31
feast,15,15,0,30
rule,15,18,-3,33
1921,15,15,0,30
process,15,17,-2,32
18th,15,16,-1,31
vol,15,19,-4,34
mother,15,15,0,30
tribal,15,15,0,30
primarily,15,15,0,30
treaty,15,15,0,30
includes,15,15,0,30
societies,15,15,0,30
practices,15,16,-1,31
2017,15,14,1,29
site,15,15,0,30
nevada,15,15,0,30
indentured,15,15,0,30
killing,15,15,0,30
20,15,15,0,30
river,15,13,2,28
open,15,13,2,28
said,15,15,0,30
exploitation,15,17,-2,32
pan,15,15,0,30
tribe,15,14,1,29
atlantic,15,18,-3,33
denver,15,15,0,30
annual,15,15,0,30
short,15,16,-1,31
chávez,15,14,1,29
department,14,14,0,28
organizations,14,15,-1,29
proposed,14,12,2,26
argentine,14,16,-2,30
14,14,15,-1,29
arrived,14,15,-1,29
parade,14,14,0,28
usually,14,13,1,27
colorado,14,13,1,27
mexican,14,15,-1,29
21,14,14,0,28
little,14,15,-1,29
genoa,14,13,1,27
pillar,14,13,1,27
mapuche,14,14,0,28
estimated,14,15,-1,29
mestizos,14,14,0,28
2009,14,12,2,26
incas,14,14,0,28
oregon,14,13,1,27
primary,14,14,0,28
result,14,16,-2,30
growth,14,13,1,27
enslavement,14,14,0,28
approximately,14,15,-1,29
zapotec,14,14,0,28
oldest,14,16,-2,30
act,14,17,-3,31
woman,14,16,-2,30
change,14,12,2,26
particularly,14,15,-1,29
lady,14,13,1,27
introduced,14,16,-2,30
proclamation,14,14,0,28
22,13,14,-1,27
encounter,13,14,-1,27
washington,13,15,-2,28
congress,13,13,0,26
order,13,14,-1,27
eurasian,13,14,-1,27
complex,13,13,0,26
relationship,13,13,0,26
businesses,13,14,-1,27
pacific,13,13,0,26
originally,13,13,0,26
siberia,13,13,0,26
25,13,14,-1,27
70,13,13,0,26
boundaries,13,13,0,26
foreign,13,15,-2,28
held,13,13,0,26
removed,13,14,-1,27
constitution,13,13,0,26
bahamas,13,13,0,26
july,13,12,1,25
respect,13,13,0,26
lived,13,12,1,25
information,13,13,0,26
near,13,13,0,26
declared,13,13,0,26
inca,13,15,-2,28
named,13,15,-2,28
december,13,17,-4,30
caused,13,15,-2,28
ocean,13,15,-2,28
animals,13,17,-4,30
forced,13,13,0,26
distinct,13,14,-1,27
volume,13,13,0,26
james,13,13,0,26
served,13,12,1,25
virgin,13,15,-2,28
texas,13,16,-3,29
article,13,14,-1,27
pilar,13,13,0,26
et,13,14,-1,27
concept,13,15,-2,28
naming,13,12,1,25
victory,13,12,1,25
arts,13,10,3,23
ohio,13,15,-2,28
dated,13,13,0,26
racial,13,13,0,26
2016,12,10,2,22
rican,12,12,0,24
elected,12,12,0,24
percent,12,12,0,24
pro,12,13,-1,25
quito,12,12,0,24
taken,12,13,-1,25
24,12,13,-1,25
bartolomé,12,13,-1,25
scholars,12,15,-3,27
extinct,12,12,0,24
africans,12,13,-1,25
politically,12,12,0,24
netherlands,12,13,-1,25
exploration,12,11,1,23
17,12,13,-1,25
38,12,12,0,24
form,12,13,-1,25
services,12,12,0,24
continent,12,11,1,23
final,12,12,0,24
thousand,12,12,0,24
2008,12,13,-1,25
convention,12,12,0,24
1885,12,12,0,24
beginning,12,11,1,23
fixed,12,10,2,22
online,12,12,0,24
beans,12,12,0,24
fought,12,14,-2,26
prior,12,15,-3,27
migrated,12,12,0,24
certain,12,12,0,24
reported,12,13,-1,25
speak,12,12,0,24
mixed,12,12,0,24
explorers,12,11,1,23
ideas,12,14,-2,26
immigrants,12,12,0,24
minority,12,13,-1,25
indígena,12,12,0,24
ethnicity,12,12,0,24
john,12,13,-1,25
music,12,12,0,24
emperor,12,12,0,24
16,12,13,-1,25
al,12,12,0,24
capital,12,14,-2,26
morales,12,12,0,24
1913,12,12,0,24
bureau,12,12,0,24
ed,12,14,-2,26
having,12,13,-1,25
90,12,12,0,24
millions,12,12,0,24
taínos,11,10,1,21
cabral,11,11,0,22
way,11,13,-2,24
religion,11,11,0,22
protectorates,11,14,-3,25
santa,11,16,-5,27
write,11,11,0,22
1892,11,11,0,22
observe,11,12,-1,23
actual,11,11,0,22
status,11,11,0,22
center,11,12,-1,23
saw,11,9,2,20
reached,11,11,0,22
single,11,11,0,22
sea,11,14,-3,25
representatives,11,11,0,22
organized,11,11,0,22
knights,11,11,0,22
95,11,12,-1,23
pueblos,11,10,1,21
permanent,11,12,-1,23
tenochtitlan,11,14,-3,25
geography,11,13,-2,24
wanted,11,11,0,22
quotes,11,11,0,22
500th,11,11,0,22
40,11,11,0,22
impact,11,12,-1,23
oklahoma,11,16,-5,27
rituals,11,11,0,22
parades,11,11,0,22
ongoing,11,11,0,22
shared,11,12,-1,23
discoverers,11,11,0,22
origins,11,10,1,21
practice,11,11,0,22
rodríguez,11,10,1,21
historians,11,11,0,22
80,11,11,0,22
15th,11,13,-2,24
amerindians,11,11,0,22
newfoundland,11,10,1,21
cities,11,14,-3,25
settled,11,10,1,21
1832,11,13,-2,24
policy,11,12,-1,23
journal,11,12,-1,23
fleet,11,11,0,22
montana,11,10,1,21
valley,11,12,-1,23
canadian,11,10,1,21
support,11,12,-1,23
belong,11,11,0,22
angeles,11,11,0,22
lake,11,8,3,19
using,11,12,-1,23
previously,11,13,-2,24
celebrating,11,10,1,21
vast,11,12,-1,23
resistencia,11,11,0,22
plains,11,10,1,21
entire,11,12,-1,23
española,11,10,1,21
regarding,11,10,1,21
contrast,11,12,-1,23
archaeological,11,11,0,22
given,11,13,-2,24
black,11,12,-1,23
earliest,11,11,0,22
observation,11,11,0,22
15,11,15,-4,26
offices,11,9,2,20
passed,10,10,0,20
klan,10,10,0,20
navy,10,10,0,20
opportunity,10,9,1,19
monument,10,10,0,20
resources,10,10,0,20
meadows,10,10,0,20
bry,10,10,0,20
links,10,10,0,20
coastal,10,10,0,20
started,10,11,-1,21
guiana,10,12,-2,22
expedition,10,14,-4,24
neighboring,10,11,-1,21
aux,10,10,0,20
just,10,10,0,20
architecture,10,11,-1,21
porn,10,10,0,20
specifically,10,9,1,19
toppled,10,10,0,20
iowa,10,10,0,20
panama,10,12,-2,22
169,10,9,1,19
battle,10,13,-3,23
members,10,10,0,20
george,10,8,2,18
widely,10,13,-3,23
come,10,10,0,20
mainly,10,10,0,20
criticism,10,10,0,20
236,10,10,0,20
codices,10,10,0,20
text,10,10,0,20
greater,10,8,2,18
anse,10,10,0,20
instruments,10,10,0,20
produced,10,10,0,20
1914,10,8,2,18
paleo,10,10,0,20
gold,10,11,-1,21
sense,10,10,0,20
forum,10,10,0,20
conflict,10,10,0,20
juan,10,11,-1,21
claims,10,10,0,20
account,10,12,-2,22
ku,10,10,0,20
venezuelan,10,10,0,20
nahuatl,10,11,-1,21
yorktown,10,10,0,20
argüelles,10,9,1,19
instituted,10,11,-1,21
living,10,10,0,20
existing,10,10,0,20
thousands,10,11,-1,21
96,10,10,0,20
library,10,9,1,19
colonizer,10,7,3,17
know,10,10,0,20
adopted,10,11,-1,21
600,10,10,0,20
26,10,10,0,20
2013,10,10,0,20
oct,10,12,-2,22
honduras,10,10,0,20
ba,10,10,0,20
churches,10,9,1,19
1996,10,10,0,20
hemisphere,10,12,-2,22
bce,10,10,0,20
ice,10,10,0,20
farming,10,11,-1,21
proclaimed,10,10,0,20
august,10,11,-1,21
descent,10,10,0,20
2018,10,13,-3,23
lobbying,10,11,-1,21
1997,10,10,0,20
fell,10,12,-2,22
klux,10,10,0,20
border,10,10,0,20
summer,10,10,0,20
violence,10,12,-2,22
1987,10,10,0,20
greek,10,10,0,20
st,10,12,-2,22
1994,10,9,1,19
met,10,11,-1,21
saddam,10,10,0,20
carib,10,11,-1,21
places,10,10,0,20
